City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Porto Novo,BJ,6.4965,2.6036,89.6,62,84,8.05,haze
123,Sitka,US,57.0531,-135.33,35.6,93,90,1.23,overcast clouds
124,Talnakh,RU,69.4865,88.3972,-38.7,75,30,1.07,scattered clouds
125,Paamiut,GL,61.994,-49.6678,23.09,88,0,4.41,clear sky
126,Galesong,ID,-5.3166,119.3661,75.2,100,40,4.61,light rain
127,San Quintin,MX,30.4833,-115.95,54.88,86,0,0.83,clear sky
128,Mazatlan,MX,23.2167,-106.4167,69.01,100,40,3.44,scattered clouds
129,Rocha,UY,-34.4833,-54.3333,84.81,38,0,11.23,clear sky
130,Cedar City,US,37.6775,-113.0619,37.4,75,20,6.13,few clouds
131,Nicolas Bravo,MX,18.45,-88.9167,75.2,88,1,2.8,clear sky
132,Ormara,PK,25.2088,64.6357,70.39,29,0,34.11,clear sky
133,Bredasdorp,ZA,-34.5322,20.0403,80.6,57,0,12.66,clear sky
134,Kilindoni,TZ,-7.9139,39.6668,82.49,79,90,16.26,overcast clouds
135,Guarapari,BR,-20.6667,-40.4975,84.99,74,75,6.91,broken clouds
136,Jamestown,US,42.097,-79.2353,30.99,86,90,17.27,light snow
137,Matay,EG,28.419,30.7792,63.64,28,0,11.05,clear sky
138,Slupsk,PL,54.4641,17.0287,39.52,86,100,6.24,overcast clouds
139,Iqaluit,CA,63.7506,-68.5145,26.6,80,75,24.16,snow
140,Oranjemund,NA,-28.55,16.4333,71.06,69,0,19.69,clear sky
141,Tuatapere,NZ,-46.1333,167.6833,60.01,64,96,8.99,light rain
142,Khirkiya,IN,22.1674,76.8605,69.35,24,0,4.14,clear sky
143,Villa Bruzual,VE,9.3328,-69.1208,86.31,49,6,5.06,clear sky
144,Ciudad Bolivar,VE,8.1222,-63.5497,85.5,53,96,10.54,overcast clouds
145,Longyearbyen,SJ,78.2186,15.6401,14.0,67,20,17.27,few clouds
146,Avarua,CK,-21.2078,-159.775,75.2,94,20,4.61,few clouds
147,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,1,18.41,snow
148,Lufkin,US,31.3382,-94.7291,59.0,100,90,5.75,mist
149,Hailar,CN,49.2,119.7,-1.82,91,0,6.85,clear sky
150,Klaksvik,FO,62.2266,-6.589,33.8,75,40,14.97,light snow
151,Kieta,PG,-6.2167,155.6333,77.86,70,81,5.97,broken clouds
152,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,16.11,broken clouds
153,Geraldton,AU,-28.7667,114.6,73.4,83,40,9.22,scattered clouds
154,Capaccio,IT,40.4244,15.0809,59.0,82,75,11.5,broken clouds
155,Keflavik,IS,64.0049,-22.5624,28.4,74,75,21.85,broken clouds
156,Edd,ER,13.9297,41.6925,84.97,36,68,26.75,broken clouds
157,Torbay,CA,47.6666,-52.7314,28.99,93,90,32.21,snow
158,Ratnagiri,IN,16.9833,73.3,77.16,72,0,8.52,clear sky
159,Viedma,AR,-40.8135,-62.9967,93.0,36,0,3.0,clear sky
160,Nikolskoye,RU,59.7035,30.7861,30.2,93,90,11.18,light snow
161,Verkhoyansk,RU,67.5447,133.385,-36.74,80,97,2.06,overcast clouds
162,San Cristobal,VE,7.7669,-72.225,73.4,94,40,6.91,mist
163,Honningsvag,NO,70.9821,25.9704,17.6,67,40,14.97,scattered clouds
164,Seddon,AU,-37.8068,144.8916,64.0,82,90,8.05,overcast clouds
165,Beringovskiy,RU,63.05,179.3167,-4.29,89,18,3.53,few clouds
166,Rosetta,EG,31.4044,30.4164,62.6,51,40,11.5,scattered clouds
167,Guerrero Negro,MX,27.9769,-114.0611,54.59,88,0,1.48,clear sky
168,Manado,ID,1.487,124.8455,75.2,94,40,6.53,moderate rain
169,Kericho,KE,-0.3677,35.2831,80.6,54,75,6.91,light rain
170,Cody,US,44.5263,-109.0565,21.99,93,75,1.59,broken clouds
171,Souillac,MU,-20.5167,57.5167,84.2,70,40,5.75,scattered clouds
172,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,88,75,12.66,broken clouds
173,Mar Del Plata,AR,-38.0023,-57.5575,81.0,61,0,13.8,clear sky
174,Saint-Philippe,RE,-21.3585,55.7679,84.2,70,75,5.75,broken clouds
175,Aviles,ES,43.5547,-5.9248,55.0,71,40,10.36,scattered clouds
176,Svetlyy,RU,54.675,20.1347,42.8,70,0,8.95,clear sky
177,Mackay,AU,-21.15,149.2,71.6,88,40,5.75,scattered clouds
178,Kismayo,SO,-0.3582,42.5454,80.02,79,100,16.6,overcast clouds
179,Grand Gaube,MU,-20.0064,57.6608,82.0,71,2,5.01,clear sky
180,San Policarpo,PH,12.1791,125.5072,80.53,79,0,4.27,clear sky
181,Rorvik,NO,64.8621,11.2373,41.0,60,40,17.27,scattered clouds
182,Aguimes,ES,27.9054,-15.4461,70.0,73,75,25.32,broken clouds
183,Warrington,GB,53.3925,-2.5802,42.8,75,40,11.5,scattered clouds
184,Chifeng,CN,42.2683,118.9636,9.32,90,0,2.62,clear sky
185,Ostrovnoy,RU,68.0531,39.5131,-0.08,92,100,15.21,overcast clouds
186,Danjiangkou,CN,32.5428,111.5086,39.99,93,32,4.03,scattered clouds
187,Kloulklubed,PW,7.0419,134.2556,83.26,76,99,18.61,overcast clouds
188,Ahipara,NZ,-35.1667,173.1667,58.71,83,33,4.85,scattered clouds
189,Astana,KZ,51.1801,71.446,1.4,78,90,17.9,snow
190,Veraval,IN,20.9,70.3667,72.1,69,0,7.78,clear sky
191,Sinnamary,GF,5.3833,-52.95,79.21,85,100,8.79,overcast clouds
192,Namibe,AO,-15.1961,12.1522,84.2,54,40,12.66,scattered clouds
193,Pacific Grove,US,36.6177,-121.9166,51.8,82,90,11.5,overcast clouds
194,Zhaotong,CN,27.3167,103.7167,40.57,73,0,3.4,clear sky
