City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Kapaa,US,2021-01-19 17:46:48,22.0752,-159.319,69.8,88,75,24.16
100,Mogwase,ZA,2021-01-19 17:46:48,-25.185,27.2665,79.36,35,48,5.01
101,Cartagena,CO,2021-01-19 17:46:48,10.3997,-75.5144,89.6,62,40,9.22
102,Tobol,KZ,2021-01-19 17:46:48,52.6844,62.5794,9.01,94,100,9.04
103,Miri,MY,2021-01-19 17:46:48,4.4148,114.0089,77.0,100,40,1.14
104,Saint Anthony,US,2021-01-19 17:46:48,45.0205,-93.218,17.01,73,90,9.22
105,Marzuq,YE,2021-01-19 17:46:49,14.4,46.4667,60.84,58,28,1.01
106,Xuddur,SO,2021-01-19 17:46:49,4.1213,43.8894,81.28,24,80,13.51
107,Tukrah,LY,2021-01-19 17:46:49,32.5341,20.5791,53.55,66,26,16.84
108,Ayagoz,KZ,2021-01-19 17:46:49,47.9714,80.4392,19.44,92,81,8.14
109,Nikolskoye,RU,2021-01-19 17:46:49,59.7035,30.7861,23.0,80,75,4.47
110,Alofi,NU,2021-01-19 17:46:49,-19.0595,-169.9187,71.6,94,77,6.4
111,Sanchor,IN,2021-01-19 17:46:49,24.7553,71.7722,63.95,33,0,8.34
112,Ardakan,IR,2021-01-19 17:46:49,32.31,54.0175,51.8,17,0,6.91
113,Hobyo,SO,2021-01-19 17:46:50,5.3505,48.5268,77.27,77,70,20.27
114,Dawlatabad,AF,2021-01-19 17:46:50,36.4141,64.9053,50.14,48,0,1.34
115,Bubaque,GW,2021-01-19 17:46:50,11.2833,-15.8333,81.73,49,23,9.98
116,Iqaluit,CA,2021-01-19 17:46:50,63.7506,-68.5145,32.0,86,90,6.91
117,Ilulissat,GL,2021-01-19 17:46:50,69.2167,-51.1,21.2,68,75,1.14
118,Sucua,EC,2021-01-19 17:46:50,-2.4667,-78.1667,76.53,72,87,3.09
119,Canturay,PH,2021-01-19 17:46:50,9.8019,122.4569,74.95,91,93,8.75
120,Menongue,AO,2021-01-19 17:46:50,-14.6585,17.691,65.12,85,100,3.18
121,Tucuma,BR,2021-01-19 17:46:50,-0.1833,-50.05,80.51,87,85,9.22
122,Mayo,US,2021-01-19 17:42:22,38.8876,-76.5119,48.99,42,40,8.05
123,Karla,EE,2021-01-19 17:46:51,59.3723,24.9275,26.6,93,90,10.36
124,Caxias,PT,2021-01-19 17:46:45,38.7031,-9.2767,57.0,76,75,13.8
125,Banswada,IN,2021-01-19 17:46:51,18.3833,77.8833,72.57,48,0,7.29
126,Laguna,US,2021-01-19 17:46:51,38.421,-121.4238,57.99,26,1,20.71
127,Asau,RO,2021-01-19 17:46:51,46.4333,26.4,19.99,86,67,5.75
128,Voh,NC,2021-01-19 17:46:51,-20.9667,164.7,77.43,84,100,3.13
129,Praya,CV,2021-01-19 17:46:51,14.9215,-23.5087,77.0,53,100,14.97
130,Buraydah,SA,2021-01-19 17:46:51,26.326,43.975,62.6,51,0,6.91
131,Chokurdakh,RU,2021-01-19 17:46:52,70.6333,147.9167,-37.5,83,15,3.96
132,Abu Dhabi,AE,2021-01-19 17:46:52,24.4667,54.3667,69.8,83,0,3.44
133,Umm Lajj,SA,2021-01-19 17:46:52,25.0213,37.2685,69.15,61,52,14.56
134,Cranbrook,CA,2021-01-19 17:46:52,49.4999,-115.7688,19.4,93,90,1.95
135,Verkhoyansk,RU,2021-01-19 17:44:00,67.5447,133.385,-33.39,80,100,1.39
136,Rosh Pinna,IL,2021-01-19 17:46:52,32.9689,35.5426,59.0,63,40,8.05
137,Dunkwa,GH,2021-01-19 17:46:52,5.9656,-1.78,85.33,59,84,5.35
138,Gat,IL,2021-01-19 17:46:53,31.61,34.7642,51.01,100,76,1.99
139,Nhulunbuy,AU,2021-01-19 17:46:53,-12.2333,136.7667,77.0,94,96,1.14
140,Lavrentiya,RU,2021-01-19 17:46:53,65.5833,-171.0,-16.11,81,17,5.57
141,New Norfolk,AU,2021-01-19 17:46:53,-42.7826,147.0587,44.01,62,17,3.33
142,Mareeba,AU,2021-01-19 17:46:53,-17.0,145.4333,79.0,89,90,3.44
143,Bonthe,SL,2021-01-19 17:46:53,7.5264,-12.505,81.41,68,66,10.94
144,Nkhata Bay,MW,2021-01-19 17:46:53,-11.6066,34.2907,77.04,74,66,1.88
145,Lao Cai,VN,2021-01-19 17:46:53,22.4833,103.95,55.09,74,3,0.65
146,La Esperanza,GT,2021-01-19 17:46:53,14.8667,-91.5667,73.99,52,20,20.71
147,Mbaiki,CF,2021-01-19 17:46:53,3.8678,17.9892,78.35,21,22,0.54
148,Businga,CD,2021-01-19 17:46:54,3.3333,20.8833,79.03,32,0,1.28
149,Raudeberg,NO,2021-01-19 17:46:54,61.9875,5.1352,37.99,67,84,7.99
150,Vila Velha,BR,2021-01-19 17:46:54,-20.3297,-40.2925,88.0,51,20,19.57
151,Saint-Philippe,RE,2021-01-19 17:46:54,-21.3585,55.7679,84.2,74,20,4.61
152,Capitan Bado,PY,2021-01-19 17:46:54,-23.2667,-55.5333,71.58,94,100,4.88
153,Yashkino,RU,2021-01-19 17:46:54,55.8736,85.4265,-11.2,77,0,4.47
154,Namibe,AO,2021-01-19 17:46:54,-15.1961,12.1522,72.95,74,94,10.18
155,Norrtalje,SE,2021-01-19 17:46:54,59.758,18.705,39.0,77,85,11.01
156,Kontagora,NG,2021-01-19 17:46:55,10.3999,5.4695,84.69,14,1,6.38
157,Wahpeton,US,2021-01-19 17:46:55,46.2652,-96.6059,5.0,85,40,16.11
158,Tuatapere,NZ,2021-01-19 17:46:55,-46.1333,167.6833,45.0,88,99,14.0
159,Hithadhoo,MV,2021-01-19 17:46:55,-0.6,73.0833,81.37,69,47,7.43
160,Kahului,US,2021-01-19 17:46:55,20.8947,-156.47,71.6,68,40,12.66
161,Butterworth,MY,2021-01-19 17:46:55,5.3991,100.3638,80.6,83,40,3.44
162,Victoria,HK,2021-01-19 17:46:55,22.2855,114.1577,62.01,73,72,1.99
163,Gazojak,TM,2021-01-19 17:46:56,41.1875,61.4036,39.54,82,35,7.45
164,Salalah,OM,2021-01-19 17:46:56,17.0151,54.0924,75.2,41,0,4.61
165,Tuktoyaktuk,CA,2021-01-19 17:46:56,69.4541,-133.0374,-5.8,84,20,11.5
166,Acarau,BR,2021-01-19 17:46:56,-2.8856,-40.12,84.83,64,81,17.94
167,Ler,SS,2021-01-19 17:46:56,8.3018,30.1418,81.27,19,36,5.06
168,Upernavik,GL,2021-01-19 17:46:56,72.7868,-56.1549,14.54,75,99,7.47
169,Nhamunda,BR,2021-01-19 17:46:56,-2.1861,-56.7131,84.02,79,94,2.21
170,Esperance,AU,2021-01-19 17:46:56,-33.8667,121.9,73.4,49,40,16.11
171,Tikhvin,RU,2021-01-19 17:46:57,59.6451,33.5294,7.43,96,95,4.59
172,Rosetta,EG,2021-01-19 17:46:57,31.4044,30.4164,53.6,82,40,11.5
173,Cherskiy,RU,2021-01-19 17:46:57,68.75,161.3,-39.77,81,100,6.8
174,Saeby,DK,2021-01-19 17:46:57,57.3319,10.5225,34.0,100,90,3.44
175,Cocorit,MX,2021-01-19 17:46:57,27.5833,-109.9667,69.8,32,75,14.97
176,Kemijarvi,FI,2021-01-19 17:46:57,66.7131,27.4306,5.14,94,26,5.08
177,Marion,US,2021-01-19 17:43:29,39.7684,-86.1555,37.0,55,20,6.91
178,Torbay,CA,2021-01-19 17:46:57,47.6666,-52.7314,39.0,87,75,13.8
179,Alice Springs,AU,2021-01-19 17:46:57,-23.7,133.8833,77.0,32,30,5.75
